IDCC
RH
MTSC
SBUX
SGEN
BANE
NAVI
MXIM
WGO
CAT
OKEY
TREX
STMP
IART
ROG
RHI
UNVR
PYPL
FIXP
UI
SONO
CCI
CERN
AEO
TMX
KMT
NXST
OKE
MCD
BBSI
CVS
DISCK
NEO
HCA
JD
QDEL
PLZL@GS
TCRR
UDR
UPS
AJG
WTTR
YUMC
ZNH
NVTK@GS
ALGT
TRMK
IR
WHR
TSS
SIE@DE
WH
PUM@DE
MOEX
CSOD
CVCO
MET
LM
AGIO
ROL
OMCL
PFE
BANEP
WFC
LPLA
RUAL
CRL
ALTR
DFS
TTD
NVRO
WAT
BOOT
MBUU
FDX
THG
GTLS
FICO
TRV
RPD
COO
PLUS
SIG
FANG
CME
CHRW
CROX
HIG
IRBT
MSGE
COF
TTLK
MRKU
FITB
BLUE
ALRM
MRK
ED
CHGG
MAS
YUM
KDP
WABC
NOW
MS
XLNX
NDAQ
BRC
WAL
COIN
WTFC
SEDG
GDDY
GMKN
MEI
LAD
MRKZ
VRTU
MUSA
BRK.B
RGEN
FLOW
APY
SRE
TGKB
OGE
TFX
PAYC
VZ
FOE
HPE
DY
EVBG
IBM
CVGW
SYKE
KZOS
ANSS
NTCT
TTWO
CIEN
DLR
SLGold
BHF
SWBI
JBSS
CRTX
VNDA
GBCI
MSRS
WMT
Z
MELI
VNO
SIGI
TPX
QIWI
CHNG
GATX
JBHT
EOAN@DE
INTU
WWD
AFG
IRKT
NEOG
ISKJ
APTV
NUVA
APLE
FLOT
CHH
OZON
LRN_old
SPCE
VOW3@DE
FOCS
FFIV
GPI
MLAB
HSC
EFX
JOUT
SPOT
ARE
ROCK
ENTA
QTWO
GDOT
VRNT
LOW
MTG
SPLK
ADP
ICPT
ERIE
ZI
IEX
UPRO
TKR
INSP
RS
GH
TSLA
DCPH
MFGP
XOM
ON
MSTR
SHAK
IOVA
MBT
PVH
CLX
USM
DLB
KNX
ALK
WST
WDFC
MTLRP
SLB
BXP
CSGP
NEWR
TROW
KZOSP
PD
DISH
LSNG
SNX
HYDR
TCS
ATRI
INGN
CMS
LHA@DE
IVZ
VCEL
RIG
ENR
PSN
MANH
EW
PNFP
RTKMP
BMCH
NYT
CVET
YNDX
AFKS
RAVN
MNRO
WTS
ICUI
PRG
NTES
PBH
TNET
VIE
FLR
BURL
LNT
VRSB
SSD
APA
IMMU
GBT
ATUS
ES
CHE
DECK
NTRS
TAK
AZO
VIAC
ASH
DAL
DPZ
ANIP
MSFT
DHI
MPWR
VTBR
FOXF
SELGP
WSC
ROSN
GRA
KTB
NKNC
CABO
SKX
MCO
ZM
POR
AON
ET
MORN
UTHR
PB
ZUO
SON
MYGN
PTCT
FCN
DAR
GEF
ENPG
NLSN
RCL
VRTX
IFF
BABA
TTMI
AFL
MCRI
AMP
AVB
SYF
WRB
EAT
TEL
CHMK
VEON
ARCC
FEES
HAS
WING
ESPR
URBN
COG
GNL
PH
EIX
GGG
MTD
ALB
KEY
ALLY
NDSN
AVAV
ADS
GAZP
SKM
LSCC
MSCI
EL
ALL
EXP
CSII
LYB
SBAC
KAP@GS
BAC
OVV
AMAT
EHTH
DIS
ANAB
VZRZP
BLK
KRKNP
APEI
NWLI
AAPL
SHW
ROST
BAX
DG
CB
AYI
BMI
OKTA
DRI
BSX
RASP
JACK
CON@DE
WMB
APTK
RARE
ABG
BKI
VMC
SXT
CFG
PDCO
BKNG
LOGM
SVST@GS
HST
CHMF
EXPE
ZEN
PTC
ETLN
KALU
ETFC
NEE
MAR
VALE
BRKR
SAIA
OXY
SCHW
TAL
MDT
TWNK
PFGC
APPF
BDX
NFLX
TFC
RSTIP
RJF
PZZA
MTH
TCX
CHA
AAN
FTV
INFO
MMSI
NTGR
TCBI
FDS
PKG
EVH
VNT
QRVO
RUGR
INTC
LII
HEI@DE
NGVT
NVR
FIZZ
CRMT
LHCG
LPX
ZGNX
DKNG
MOV
ECPG
AVY
MRO
NUE
SF
CARG
MOS
NWE
ZBRA
LULU
NKTR
KRG
DRNA
VPG
BZUN
ICE
VIR
CMI
CMA
LEA
SWAV
WDAY
FRPT
QLYS
DBK@DE
ROLL
CHTR
CI
PLNT
SBERP
ATKR
RDS.A
TREE
POGR
INCY
FOXA
SSTK
SWX
VRNS
EXR
OHI
WCC
QTS
HOT@DE
LBRDK
HHR
DNKN
HON
OTIS
UGI
LMT
MODV
RYN
BYND
RVLV
SRPT
DOCU
PS
AVLR
ACM
SCI
HUBS
KHC
BEAT
LUV
BECN
RRBI
TRIP
TRMB
BF.B
ATGE
MRKV
CHEP
PETQ
LEVI
PFG
MINI
IQV
LYFT
CRI
RSG
PRAA
GD
GOOGL
AWK
SEE
ARNA
AAP
QADA
RE
KBTK
NWL
DOV
CAH
CY
DVN
CDNA
MMC
MAC
MTCH
JEF
MSI
NWSA
AXSM
EV
BTAI
BIG
VCYT
EVR
AMD
FBHS
CGNX
BBIO
ALRS
PUMP
IAC
CHKP
FTNT
INMD
HP
CNXC
ETRN
WWW
UFS
LEGH
GTX
CBRE
CEA
CDK
LNTH
IPGP
ACH
NOV
PG
SELG
CENT
AIZ
HRL
LOPE
WHD
SMAR
EBS
RF
ANDE
ADUS
NTCO
CXO
NPK
USB
APPS
EVT@DE
GIS
FELE
CDW
HFC
AANold
HCSG
PGTI
ALLE
POLold
XRAY
GCHE
RXN
GCP
VNA@DE
SUPN
LKOD@GS
APAold
HSKA
HALO
JNJ
HNP
AQUA
FB
WDC
CHX
CARR
PSTG
PAGS
MSNG
MGM
TDS
FIVN
SHI
AIT
PPG
TGNA
SMG
MCHP
TAP
PEG
TATNP
KR
HLT
SNBR
GO
MKTX
PLD
SNGS
ENS
MLM
TJX
SWK
THRM
DOW
MNST
BUD
CTSH
BAH
BAND
ADPT
NXPI
EXAS
KLSB
GPS
LIFE
TTM
ETR
FCFS
RMD
USPH
JELD
NUS
DK
RACE
TPR
ZBH
RP
WISH
CMCSA
ALNY
AIMT
TCMD
CSX
CCL
LASR
PRAH
WORK
EPC
TMHC
HXL
NBL
TGKA
GMS
AMWD
UPWK
ACIA
GRNT
WY
GILD
ADBE
PRLB
NATI
RDY
TNL
KMB
ENRU
ALV@DE
GTRK
ANIK
JNPR
GSKY
CLF
USFD
IIVI
SWCH
PRGS
MAIL
ATRA
NEU
CWST
URI
GL
TECD
PINS
TDY
RNFT
HAE
PSA
ARWR
ZYXI
CBRL
BPMC
AXGN
MU
SFIN
AKRN
PEAK
DCI
KEP
TXG
HTA
CNXN
WEX
RHM@DE
MGNT
UA
AGRO
LUMNold
TOL
SMLT
DNOW
EGHT
CMCO
ATVI
STAG
TGKDP
JLL
DIOD
Y
VCRA
BOH
TDG
AJRD
NCBS
HOLX
RETA
ACAD
CTVA
GRUB
AES
FMC
DRE
ABNB
LRN
OSK
MAN
M
HAL
LH
WAB
YELP
BIDU
TE
DPW@DE
CNC
LRCX
GTHX
TNC
LPL
IDXX
BFAM
ALGN
BA
CCOI
FATE
CPRI
FTRE
CARA
T
OGZD@GS
ROKU
ORCL
WOR
QRTEA
BOSS@DE
SYNH
KMAZ
SPR
RWE@DE
PODD
LNZL
BMRN
TRCN
EXEL
SCSC
REGN
PGR
AMED
XYL
BDC
CCXI
NLMK@GS
LGND
KBH
WLK
OI
RTX
A
AXON
LVGO
ROK
BH
OGKB
NBIX
BMW@DE
CR
CHDN
JJSF
DD
MCK
AMCX
CHEF
STAA
SRC
PPC
CCK
FLT
KNSL
SITE
AWR
RBCM
FME@DE
AX
RSTI
EGRX
NJR
TSM
VRTV
MHO
AIR
MRKP
SMTC
MMS
DTE@DE
F
HWM
PFPT
GSH
LKOH
GLW
CVX
HQY
INVH
RUAL_old
CRVL
SHEN
HCCI
PIPR
PLZL
DE
AERI
FOX
CBSH
EPAY
MAA
PCG
FL
AYX
PEN
REX
PGNY
GPN
NVTA
DORM
MYL
HBAN
COKE
MD
MDLZ
BL
AME
BSPB
CONE
LSTR
BIO
V
MLHR
NVDA
XNCR
CWT
SBH
TATN
FSLY
LHX
CDLX
IGMS
ARMK
CTXS
PXD
CLR
NWS
EXC
TORS
KWR
WU
ARQT
ABBV
MGNT@GS
SQ
WERN
SAIC
ELAN
UFPI
CASY
VTR
ZYNE
CSL
SAM
FLS
UNKL
AVNT
AEIS
AOUT
ZION
TRHC
EOG
MSST
AMGN
VNE
ODFL
AOS
SERV
MDGL
WYNN
SIVB
PNC
BWA
PMSBP
HRTX
DDS
RTKM
ENTG
HRB
EA
CNS
TCSG
POWI
RGA
CCMP_old
RBC
CBPO
MATX
UNH
DASH
SNPS
FUL
BTI
NKE
VSMO
SCCO
CARS
TXRH
CHWY
ZG
WLTW
UNP
POOL
DLPH
KEYS
UTL
TECH
MTRN
LUMN
MTB
PPL
VC
IPG
DLX
MGTSP
STRA
PLAY
MYOK
PLCE
MVID
BGS
VAC
LVS
TPIC
MKC
AZPN
PCRX
MUR
SRI
ETN
LIN
SSNC
YY
ANET
BR
HUBG
EPAM
IT
XEC
MHK
PHM
ADM
EBAY
JWN
CRM
ULTA
TGT
STLD
SBER
PBCT
ECL
ALNU
APPN
CDNS
IFX@DE
MSM
OSUR
DVA
PCAR
PTR
PNTG
HIIQ
ORLY
AFX@DE
FNKO
ATR
FND
FARO
MOH
IP
HTHT
RL
VLO
COUP
BMY
1COV@DE
CVNA
SPG
SFM
LFUS
ROLO
O
PANW
RAMP
MIDD
PIKK
H
CGEN
AIV_old
FGEN
VIPS
CORR
